Date,Close
3/3/2014 16:00:00,37.78
3/4/2014 16:00:00,38.41
3/5/2014 16:00:00,38.11
3/6/2014 16:00:00,38.15
3/7/2014 16:00:00,37.9
3/10/2014 16:00:00,37.82
3/11/2014 16:00:00,38.02
3/12/2014 16:00:00,38.27
3/13/2014 16:00:00,37.89
3/14/2014 16:00:00,37.7
3/17/2014 16:00:00,38.05
3/18/2014 16:00:00,39.55
3/19/2014 16:00:00,39.27
3/20/2014 16:00:00,40.33
3/21/2014 16:00:00,40.16
3/24/2014 16:00:00,40.5
3/25/2014 16:00:00,40.34
3/26/2014 16:00:00,39.79
3/27/2014 16:00:00,39.36
3/28/2014 16:00:00,40.3
3/31/2014 16:00:00,40.99
4/1/2014 16:00:00,41.42
4/2/2014 16:00:00,41.35
4/3/2014 16:00:00,41.01
4/4/2014 16:00:00,39.87
4/7/2014 16:00:00,39.8
4/8/2014 16:00:00,39.82
4/9/2014 16:00:00,40.47
4/10/2014 16:00:00,39.36
4/11/2014 16:00:00,39.21
4/14/2014 16:00:00,39.18
4/15/2014 16:00:00,39.75
4/16/2014 16:00:00,40.4
4/17/2014 16:00:00,40.01
4/21/2014 16:00:00,39.94
4/22/2014 16:00:00,39.99
4/23/2014 16:00:00,39.69
4/24/2014 16:00:00,39.86
4/25/2014 16:00:00,39.91
4/28/2014 16:00:00,40.87
4/29/2014 16:00:00,40.51
4/30/2014 16:00:00,40.4
5/1/2014 16:00:00,40
5/2/2014 16:00:00,39.69
5/5/2014 16:00:00,39.43
5/6/2014 16:00:00,39.06
5/7/2014 16:00:00,39.42
5/8/2014 16:00:00,39.64
5/9/2014 16:00:00,39.54
5/12/2014 16:00:00,39.97
5/13/2014 16:00:00,40.42
5/14/2014 16:00:00,40.24
5/15/2014 16:00:00,39.6
5/16/2014 16:00:00,39.83
5/19/2014 16:00:00,39.75
5/20/2014 16:00:00,39.68
5/21/2014 16:00:00,40.35
5/22/2014 16:00:00,40.1
5/23/2014 16:00:00,40.12
5/27/2014 16:00:00,40.19
5/28/2014 16:00:00,40.01
5/29/2014 16:00:00,40.34
5/30/2014 16:00:00,40.94
6/2/2014 16:00:00,40.79
6/3/2014 16:00:00,40.29
6/4/2014 16:00:00,40.32
6/5/2014 16:00:00,41.21
6/6/2014 16:00:00,41.48
6/9/2014 16:00:00,41.27
6/10/2014 16:00:00,41.11
6/11/2014 16:00:00,40.86
6/12/2014 16:00:00,40.58
6/13/2014 16:00:00,41.23
6/16/2014 16:00:00,41.5
6/17/2014 16:00:00,41.68
6/18/2014 16:00:00,41.65
6/19/2014 16:00:00,41.51
6/20/2014 16:00:00,41.68
6/23/2014 16:00:00,41.99
6/24/2014 16:00:00,41.75
6/25/2014 16:00:00,42.03
6/26/2014 16:00:00,41.72
6/27/2014 16:00:00,42.25
6/30/2014 16:00:00,41.7
7/1/2014 16:00:00,41.87
7/2/2014 16:00:00,41.9
7/3/2014 16:00:00,41.8
7/7/2014 16:00:00,41.99
7/8/2014 16:00:00,41.78
7/9/2014 16:00:00,41.67
7/10/2014 16:00:00,41.69
7/11/2014 16:00:00,42.09
7/14/2014 16:00:00,42.14
7/15/2014 16:00:00,42.45
7/16/2014 16:00:00,44.08
7/17/2014 16:00:00,44.53
7/18/2014 16:00:00,44.69
7/21/2014 16:00:00,44.84
7/22/2014 16:00:00,44.83
7/23/2014 16:00:00,44.87
7/24/2014 16:00:00,44.4
7/25/2014 16:00:00,44.5
7/28/2014 16:00:00,43.97
7/29/2014 16:00:00,43.89
7/30/2014 16:00:00,43.58
7/31/2014 16:00:00,43.16
8/1/2014 16:00:00,42.86
8/4/2014 16:00:00,43.37
8/5/2014 16:00:00,43.08
8/6/2014 16:00:00,42.74
8/7/2014 16:00:00,43.23
8/8/2014 16:00:00,43.2
8/11/2014 16:00:00,43.2
8/12/2014 16:00:00,43.52
8/13/2014 16:00:00,44.08
8/14/2014 16:00:00,44.27
8/15/2014 16:00:00,44.79
8/18/2014 16:00:00,45.11
8/19/2014 16:00:00,45.33
8/20/2014 16:00:00,44.95
8/21/2014 16:00:00,45.22
8/22/2014 16:00:00,45.15
