Date,Close
3/3/2014 16:00:00,18.85
3/4/2014 16:00:00,18.97
3/5/2014 16:00:00,19.01
3/6/2014 16:00:00,18.96
3/7/2014 16:00:00,18.94
3/10/2014 16:00:00,18.96
3/11/2014 16:00:00,19.15
3/12/2014 16:00:00,19.16
3/13/2014 16:00:00,18.95
3/14/2014 16:00:00,18.74
3/17/2014 16:00:00,18.81
3/18/2014 16:00:00,18.98
3/19/2014 16:00:00,18.97
3/20/2014 16:00:00,18.88
3/21/2014 16:00:00,19.03
3/24/2014 16:00:00,19.26
3/25/2014 16:00:00,19.46
3/26/2014 16:00:00,19.28
3/27/2014 16:00:00,19.2
3/28/2014 16:00:00,19.17
3/31/2014 16:00:00,19.17
4/1/2014 16:00:00,19.34
4/2/2014 16:00:00,19.38
4/3/2014 16:00:00,19.24
4/4/2014 16:00:00,18.99
4/7/2014 16:00:00,18.7
4/8/2014 16:00:00,18.69
4/9/2014 16:00:00,18.94
4/10/2014 16:00:00,18.7
4/11/2014 16:00:00,18.56
4/14/2014 16:00:00,18.63
4/15/2014 16:00:00,18.5
4/16/2014 16:00:00,18.54
4/17/2014 16:00:00,18.75
4/21/2014 16:00:00,18.97
4/22/2014 16:00:00,18.99
4/23/2014 16:00:00,18.74
4/24/2014 16:00:00,20.28
4/25/2014 16:00:00,20.43
4/28/2014 16:00:00,21.22
4/29/2014 16:00:00,21.15
4/30/2014 16:00:00,21.07
5/1/2014 16:00:00,21.12
5/2/2014 16:00:00,21.16
5/5/2014 16:00:00,21.46
5/6/2014 16:00:00,21.23
5/7/2014 16:00:00,21.15
5/8/2014 16:00:00,21
5/9/2014 16:00:00,20.91
5/12/2014 16:00:00,21.17
5/13/2014 16:00:00,21.21
5/14/2014 16:00:00,21.21
5/15/2014 16:00:00,21.03
5/16/2014 16:00:00,21.34
5/19/2014 16:00:00,21.59
5/20/2014 16:00:00,21.6
5/21/2014 16:00:00,21.65
5/22/2014 16:00:00,21.69
5/23/2014 16:00:00,21.93
5/27/2014 16:00:00,22.34
5/28/2014 16:00:00,22.29
5/29/2014 16:00:00,22.69
5/30/2014 16:00:00,22.61
6/2/2014 16:00:00,22.45
6/3/2014 16:00:00,22.77
6/4/2014 16:00:00,23.03
6/5/2014 16:00:00,23.12
6/6/2014 16:00:00,23.06
6/9/2014 16:00:00,23.43
6/10/2014 16:00:00,23.56
6/11/2014 16:00:00,23.47
6/12/2014 16:00:00,23.07
6/13/2014 16:00:00,22.82
6/16/2014 16:00:00,23.05
6/17/2014 16:00:00,23.02
6/18/2014 16:00:00,23.05
6/19/2014 16:00:00,22.97
6/20/2014 16:00:00,22.73
6/23/2014 16:00:00,22.71
6/24/2014 16:00:00,22.57
6/25/2014 16:00:00,22.59
6/26/2014 16:00:00,22.73
6/27/2014 16:00:00,23
6/30/2014 16:00:00,23.23
